parameters	r2_cv_mean	explained_variance_cv_mean	neg_mean_squared_error_cv_mean	neg_mean_absolute_error_cv_mean	time	seed	dataset	algorithm	_id
{'bootstrap': 'true', 'criterion': 'mae', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.05, 'n_estimators': 100, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.26209126694900514	0.3300855459095361	-64.23263451190475	-6.100740476190476	0.13415775299072266	24800	665_sleuth_case2002	RandomForestRegressor	8d824a40e6b6b8a6382589330cb8f51f206a8dbfb766e74e2acdad3d1fde8f34
{'alpha': 0.9, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'ls', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'presort': 'auto', 'random_state': 24800, 'subsample': 0.5, 'verbose': 0, 'warm_start': False}	0.5252501444897532	0.5350250717627834	-0.4654683267282138	-0.5448075311269295	0.07635636329650879	24800	581_fri_c3_500_25	GradientBoostingRegressor	46bda105a1251fe9a432e9ccd07e0f97e0d292b72021f909df411bcfb6023930
{'bootstrap': 'true', 'criterion': 'mae', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.35, 'n_estimators': 500, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.18086865245461145	0.19459145389411625	-0.8116340327037465	-0.6919383234069227	2.6265560388565063	24800	623_fri_c4_1000_10	RandomForestRegressor	c4991f7f7db210de7f3439643c94f0e4db1589478dedda01c3fea698ed6b1c96
{'C': 0.001, 'cache_size': 700, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.1, 'verbose': False}	-0.7111345934637858	0.0001970418208632863	-20.537693874171488	-3.9976535243932982	0.000939035415649414	24800	523_analcatdata_neavote	SVR	1d5017c71352ff2088437dfbee41e5eb153ce9cb6caa900862b1d1f2adb4ebe4
{'alpha': 0.9, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 500, 'presort': 'auto', 'random_state': 24800, 'subsample': 1, 'verbose': 0, 'warm_start': False}	0.9104378375547753	0.9107195578443914	-0.4376964970192754	-0.3518307870049601	4.741815686225892	24800	294_satellite_image	GradientBoostingRegressor	59b8c69105f1168317a1e03ec0754419b47a907abbb6f41bbfa28b132b96059d
{'C': 1, 'cache_size': 700, 'coef0': 0.0001, 'degree': 2, 'epsilon': 0.1, 'gamma': 100, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-1.0945309951617817	-0.6878223522324475	-4.1906841156327905	-1.5730508760575943	0.1905322313308716	24800	1027_ESL	SVR	c523cd7afa147eba5143fb306cfc089cb81d987b0dfe6ed9a600465c22013a5a
{'C': 0.01, 'cache_size': 700, 'coef0': 0.01, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-0.009278628440395498	0.0038404363552594686	-0.9986430061485458	-0.8208067456520917	0.010891294479370121	24800	654_fri_c0_500_10	SVR	663879512b364bb3fed7f8fee5b9c6fbe3b1eb2d38b0c690a0571ed69047896e
{'bootstrap': 'true', 'criterion': 'mse', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.3, 'n_estimators': 100, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.1663400273384486	0.17741392067297487	-0.8238982092926983	-0.7396215515296722	0.15875401496887204	24800	590_fri_c0_1000_50	RandomForestRegressor	9e33b264849c4aa8288e949a4daf39ce147b5feb3b094efc981e1c0cb78c0755
{'C': 0.01, 'cache_size': 700, 'coef0': 10, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	-0.13947524714507933	0.0004015429351340915	-2815.3294340309576	-45.39897921573238	0.0009500026702880859	24800	663_rabe_266	SVR	7a613992c31268aed9b9e035c901c8d80fa601ac6ea4dbb93418c63119ff9db9
{'criterion': 'mae', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.4, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.10789772350711717	0.13576500958887056	-0.8622262534923916	-0.6987653437670378	0.04818572998046875	24800	586_fri_c3_1000_25	DecisionTreeRegressor	76e139218251221f79e064155bf8a59c63ab688dc32e7e468d2acba14eeacfb2
{'bootstrap': 'false', 'criterion': 'mae', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.35, 'n_estimators': 100, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.09843397325051276	0.17274696831874184	-0.8540353318109816	-0.6956684216892346	0.15108139514923094	24800	615_fri_c4_250_10	RandomForestRegressor	1dad41aefa61c52b368c93b74461e9ee871230b882601906f3238da55eec1bc4
{'C': 0.0001, 'cache_size': 700, 'coef0': 0.001, 'degree': 3, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	-0.0755617131819227	3.162631858026899e-05	-92.90124752063691	-7.4117556600277315	0.0017161607742309573	24800	665_sleuth_case2002	SVR	8d824a40e6b6b8a6382589330cb8f51f206a8dbfb766e74e2acdad3d1fde8f34
{'criterion': 'mse', 'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.15, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.5078791529462134	0.5965555187837398	-187.42390903793788	-10.312889630251245	0.0002300739288330078	24800	228_elusage	DecisionTreeRegressor	4afb4e208e60e6c68734fd95e532b942bbd6711988a9b7b2575de2decd182999
{'criterion': 'mae', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 20, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.2, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	-0.3127441790766353	-0.009607899501133898	-0.7927561127865653	-0.7325171835720539	0.00046842098236084	24800	656_fri_c1_100_5	DecisionTreeRegressor	4ce1ebd69d1e87137a2f3823947828e81f764c483d3f05510e44138967617522
{'C': 0.01, 'cache_size': 700, 'coef0': 0.0001, 'degree': 2, 'epsilon': 0.1, 'gamma': 100, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	-0.04403808163113769	1.7374990335383703e-14	-1.038470347834124	-0.8073011112719609	0.07767188549041748	24800	606_fri_c2_1000_10	SVR	6abfaa2b6f4ad5518f12c38f9d9482a14189753915af05f4e1e5f14e9a9e3f59
{'C': 0.01, 'cache_size': 700, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	-0.7934208990523303	0.000812308150908625	-4208.970188588555	-52.85284921425811	0.00047707557678222656	24800	542_pollution	SVR	e238c95435208f8dbdd150f92e990e1caf891ad35463459832101213e6ef5198
{'criterion': 'mse', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.1, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.6702168344066661	0.6758884879883729	-0.6340263567894542	-0.6146500667912116	0.0003232002258300781	24800	1027_ESL	DecisionTreeRegressor	c523cd7afa147eba5143fb306cfc089cb81d987b0dfe6ed9a600465c22013a5a
{'bootstrap': 'false', 'criterion': 'mae', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 20, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.2, 'n_estimators': 100, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.3081385883977254	0.33130981492521083	-0.6729092687914695	-0.6372316153903155	1.033891463279724	24800	586_fri_c3_1000_25	RandomForestRegressor	76e139218251221f79e064155bf8a59c63ab688dc32e7e468d2acba14eeacfb2
{'alpha': 0.9, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'ls', 'max_depth': 1, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 20, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 500, 'presort': 'auto', 'random_state': 24800, 'subsample': 1, 'verbose': 0, 'warm_start': False}	0.14043809947487185	0.3918365528243357	-12.525418454787646	-2.605609383644227	0.0879565954208374	24800	192_vineyard	GradientBoostingRegressor	36ea28d4037d1aa978cb70a51783e25e37df5d69049cc4feb5ac74798705754c
{'C': 0.1, 'cache_size': 700, 'coef0': 0.0, 'degree': 2, 'epsilon': 0.1, 'gamma': 10, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	-1.0771835515136368	-1.0638532134154508	-2.0464441509248994	-1.1678888958171778	0.45003457069396974	24800	620_fri_c1_1000_25	SVR	57255fd431d9f19ea583b561b50f97ccc1a7d09e5b4903fe2f27dfedee140d91
{'criterion': 'mse', 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.45, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	-0.09404816462046547	0.0333585475146593	-22802.545661122535	-85.20199097404907	0.00024900436401367195	24800	230_machine_cpu	DecisionTreeRegressor	c7271c780d951709bf3ae67e09e78a902be87a7137e485d6b924171438fa50bd
{'C': 0.1, 'cache_size': 700, 'coef0': 0.0001, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-0.03607182945953866	0.0015217484526353295	-1.0091505937736152	-0.8141574963549391	0.028412842750549318	24800	637_fri_c1_500_50	SVR	5b043c02cdde0d4a90b2b01ff9976b567ed4407d6a4c376a4cf2a2cc8a74a946
{'alpha': 0.9, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 1, 'loss': 'ls', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'presort': 'auto', 'random_state': 24800, 'subsample': 0.5, 'verbose': 0, 'warm_start': False}	0.19471859381592874	0.20951971426452634	-155.22697561234725	-8.758137913846397	0.04759957790374756	24800	505_tecator	GradientBoostingRegressor	6d403dd591e06a08e06d44cab92f0c18eee79f14fec1521f580b5258eaa2b39e
{'C': 100, 'cache_size': 700, 'coef0': 10, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	0.6682776403745255	0.7007447061264577	-0.20211249947036355	-0.3554173514106006	0.002235269546508789	24800	624_fri_c0_100_5	SVR	bcd67ad7aa005a3d3bda30afcbb6881c9461ad077803fda80c3e8f0de655cb83
{'criterion': 'mse', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.25, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.35903813982849325	0.39376679426107897	-5117.003538368661	-61.05832371492971	0.00032138824462890625	24800	690_visualizing_galaxy	DecisionTreeRegressor	48434be5671d5de48c8936681137ba7c9fb9dc081a71abde9517a5fe7fad135d
{'criterion': 'mse', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.3115854636224949	0.3372041022775467	-105.34400289936579	-8.002406309545014	0.00028584003448486336	24800	712_chscase_geyser1	DecisionTreeRegressor	a611512fc0c4f7f6a2efbfb3545f9ea91aafff3a5475f0a69700085c53bd8e50
{'C': 1, 'cache_size': 700, 'coef0': 10, 'degree': 3, 'epsilon': 0.1, 'gamma': 10, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	-2.298245461300981	-2.088906258425568	-14782.503655902341	-29.478939800437466	0.08342156410217286	24800	561_cpu	SVR	d58cb17a86b7babf073e553324c1c5a22589714cf15df1e98815a31c45ae8be6
{'C': 1, 'cache_size': 700, 'coef0': 0.01, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-0.030308560122640226	0.00031752875643151766	-1.0158960206335093	-0.8147266089694649	0.04215977191925049	24800	612_fri_c1_1000_5	SVR	aa035a4536d9fd1c3cc88e9adc72b39327fc2a4bac2aff81144f44d6e837f3af
{'C': 10, 'cache_size': 700, 'coef0': 0.01, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.1, 'verbose': False}	0.025709884747633933	0.08052012274388656	-0.9347669527212444	-0.7596695993864261	0.015996503829956054	24800	604_fri_c4_500_10	SVR	ff8f1a3364f45d56b3a0427b616188e4cf2e9aea2d72bd0fdc94d23f014afae2
{'C': 0.001, 'cache_size': 700, 'coef0': 0.0, 'degree': 2, 'epsilon': 0.1, 'gamma': 10, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.01, 'verbose': False}	-0.04109635176076084	0.07919486977574472	-0.8832567349424518	-0.7547468601652266	0.0010258674621582034	24800	611_fri_c3_100_5	SVR	48c7861803e5de3fb5a53001fe3f2ad6dd2a004a6c1070d6e9f10f7d895d2630
{'criterion': 'mse', 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.35, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.535313083318916	0.5625893360293679	-924.004192080979	-22.94266206446948	0.0005141735076904297	24800	695_chatfield_4	DecisionTreeRegressor	9a92dedd2967e1463a15f38bfc7de3b6fb8dc3b88d7ee58569d9f9fc0bc7e6fd
{'C': 1, 'cache_size': 700, 'coef0': 0.001, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.01, 'verbose': False}	-0.0031149266309618557	0.02849948808216133	-0.9891212080155242	-0.8047247208351991	0.06303958892822266	24800	612_fri_c1_1000_5	SVR	aa035a4536d9fd1c3cc88e9adc72b39327fc2a4bac2aff81144f44d6e837f3af
{'C': 0.1, 'cache_size': 700, 'coef0': 0.0, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.1, 'verbose': False}	-0.1898136446186619	0.028113209788978844	-243.04588293734886	-12.68708084936391	0.0005447864532470703	24800	687_sleuth_ex1605	SVR	a2fe25044c0d73cf0388f327512c432e3c52c932c6990d8af041dc9e1233d5ab
{'C': 0.01, 'cache_size': 700, 'coef0': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.1, 'verbose': False}	-0.017888948620557208	0.00296111448295332	-1.0072312175265523	-0.7741852392429139	0.08029868602752685	24800	592_fri_c4_1000_25	SVR	0079df3c30269c93a747dfe21a5a66d1c499e66c884fc61f92a2bd249501a421
{'C': 0.001, 'cache_size': 700, 'coef0': 0.01, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.01, 'verbose': False}	-0.7114798264853663	7.026002313281765e-08	-20.541998469857035	-3.997999876735	0.000725221633911133	24800	523_analcatdata_neavote	SVR	1d5017c71352ff2088437dfbee41e5eb153ce9cb6caa900862b1d1f2adb4ebe4
{'C': 0.1, 'cache_size': 700, 'coef0': 0.001, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	-0.27329584036307136	1.9514458255320832e-05	-6433217008.995199	-39539.51670105173	0.0006739616394042969	24800	527_analcatdata_election2000	SVR	3bc7169d5dbb55dcdcb78d6f07661d8c3ff38a8e138602c4a14c0d057f1ecbf9
{'C': 100, 'cache_size': 700, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.01, 'verbose': False}	0.4296059664586305	0.4304706878905196	-25.64757651749157	-3.806434473871604	1.858628940582276	24800	503_wind	SVR	b9899c4b4789b47d79e773b4f5829e918244a4024d87d10a63a887246985ca0e
{'C': 0.01, 'cache_size': 700, 'coef0': 0.1, 'degree': 2, 'epsilon': 0.1, 'gamma': 100, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.1, 'verbose': False}	-1.5158786216348172	-1.451098955678488	-20.13621799363037	-2.983406800559464	0.2177204370498657	24800	666_rmftsa_ladata	SVR	024ddf67b704861a09dacbec1402ffd8b4747ecda600453aeb3a47e07f6d878f
{'C': 0.1, 'cache_size': 700, 'coef0': 0.001, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	-0.0018561186312524905	0.007070565052983269	-0.9932844016790006	-0.8072696645089646	0.06376333236694336	24800	609_fri_c0_1000_5	SVR	5f5171eceaf7396b74d7e9c8a2061f88bb187df4439ec9f40777d77b4ff2f5fc
{'C': 100, 'cache_size': 700, 'coef0': 10, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.01, 'verbose': False}	0.9407284817098154	0.9441195000622328	-13.76442121366679	-1.1218566211508625	0.09306890964508056	24800	505_tecator	SVR	6d403dd591e06a08e06d44cab92f0c18eee79f14fec1521f580b5258eaa2b39e
{'C': 10, 'cache_size': 700, 'coef0': 0.0, 'degree': 2, 'epsilon': 0.1, 'gamma': 100, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-0.03199873459458711	0.04189636506545987	-87.45520285265052	-7.3228268455313215	0.00365903377532959	24800	665_sleuth_case2002	SVR	8d824a40e6b6b8a6382589330cb8f51f206a8dbfb766e74e2acdad3d1fde8f34
{'alpha': 0.9, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 500, 'presort': 'auto', 'random_state': 24800, 'subsample': 0.5, 'verbose': 0, 'warm_start': False}	0.7685979677022622	0.773598637307231	-0.2237789799739008	-0.3772784343364964	0.2794832229614258	24800	626_fri_c2_500_50	GradientBoostingRegressor	731006de928c7ee425c9f62a9a21552805d7a48e9a178efad89a2d350b18c6a3
{'criterion': 'mse', 'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.1, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.4731071721788909	0.5504281449856452	-410.1297110040312	-14.450301587301588	0.00026819705963134773	24800	1089_USCrime	DecisionTreeRegressor	3ee490bf9c08654fa369aad9dd9cfaf75b91354383020ec688998160e553fce5
{'criterion': 'mae', 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.3, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.18300079566906416	0.2185389327978124	-160.58042364320625	-9.653750018775463	0.002331233024597168	24800	505_tecator	DecisionTreeRegressor	6d403dd591e06a08e06d44cab92f0c18eee79f14fec1521f580b5258eaa2b39e
{'C': 100, 'cache_size': 700, 'coef0': 0.01, 'degree': 3, 'epsilon': 0.1, 'gamma': 100, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	-0.03309170125290981	-5.551115123125783e-17	-1.005007935143261	-0.8078223359336829	0.10851666927337647	24800	586_fri_c3_1000_25	SVR	76e139218251221f79e064155bf8a59c63ab688dc32e7e468d2acba14eeacfb2
{'C': 0.001, 'cache_size': 700, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.01, 'verbose': False}	-0.10290192499106304	0.001037494671594974	-1.0464514129212945	-0.8316546991624921	0.004128360748291014	24800	596_fri_c2_250_5	SVR	06d3557397a9ab94e4a6bc7737083383a753ae2984a383dac05ec787c00f4dc7
{'C': 10, 'cache_size': 700, 'coef0': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	0.040257925885036606	0.09040119867281778	-0.9328846761717859	-0.7760623285790947	0.014456439018249513	24800	584_fri_c4_500_25	SVR	970d42f3c8a47d1f1366cd026f5132f91ddfccd946b1b4bfadf368a172a59342
{'bootstrap': 'true', 'criterion': 'mae', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 500, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.6591885469158536	0.6771343147243356	-67.00426099429076	-6.047642317671577	1.3917287349700929	24800	505_tecator	RandomForestRegressor	6d403dd591e06a08e06d44cab92f0c18eee79f14fec1521f580b5258eaa2b39e
{'criterion': 'mae', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.05, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.01192983189405461	0.05579667725176153	-0.7267470477032022	-0.6615918200016022	0.004603338241577146	24800	522_pm10	DecisionTreeRegressor	4cb94da5c0c6a22ae300309dd470b694f1de99efcc5e92ba5dfceae5780bdf32
{'C': 0.01, 'cache_size': 700, 'coef0': 0.0, 'degree': 2, 'epsilon': 0.1, 'gamma': 10, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	-0.053018311606945326	5.2242888918996305e-05	-1.0200950915694718	-0.7948883006191454	0.0276186466217041	24800	604_fri_c4_500_10	SVR	ff8f1a3364f45d56b3a0427b616188e4cf2e9aea2d72bd0fdc94d23f014afae2
{'C': 100, 'cache_size': 700, 'coef0': 0.01, 'degree': 2, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	-0.014820222135748263	0.010015508228892757	-0.7204403173570013	-0.6473250505947037	0.10496890544891356	24800	522_pm10	SVR	4cb94da5c0c6a22ae300309dd470b694f1de99efcc5e92ba5dfceae5780bdf32
