normalized-losses	make	fuel-type	aspiration	num-of-doors	body-style	drive-wheels	engine-location	wheel-base	length	width	height	curb-weight	engine-type	num-of-cylinders	engine-size	fuel-system	bore	stroke	compression-ratio	horsepower	peak-rpm	city-mpg	highway-mpg	price	class
36	19	1	0	1	3	1	0	102.4	175.6	66.5	54.9	2414.0	3	2	122.0	5	16	30	8.7	55	1	27.0	32.0	7	-1
36	19	1	0	1	3	1	0	102.4	175.6	66.5	54.9	2326.0	3	2	122.0	5	16	30	8.7	55	1	29.0	34.0	167	-1
47	9	0	1	1	3	2	0	115.6	202.6	71.7	56.3	3770.0	3	1	183.0	3	26	32	21.5	12	3	22.0	25.0	87	-1
41	18	1	0	2	2	1	0	93.7	156.9	63.4	53.7	2050.0	4	2	97.0	1	30	2	9.0	43	9	31.0	36.0	100	2
41	18	1	0	2	2	0	0	93.3	157.3	63.8	55.7	2240.0	4	2	108.0	1	30	3	8.7	46	4	26.0	31.0	140	2
18	5	1	0	2	2	1	0	86.6	144.6	63.9	50.8	1713.0	3	2	92.0	0	2	25	9.6	38	8	49.0	54.0	114	2
35	20	1	0	2	2	1	0	94.5	165.7	64.0	51.4	2221.0	3	2	109.0	5	13	24	8.5	54	16	24.0	29.0	182	3
20	4	1	1	2	2	1	0	95.9	173.2	66.3	50.2	2811.0	3	2	156.0	4	28	34	7.0	18	10	19.0	24.0	27	3
32	12	1	0	2	2	2	0	91.3	170.7	67.9	49.7	3071.0	5	3	181.0	5	21	20	9.0	23	12	19.0	25.0	60	3
43	19	1	0	2	2	1	0	95.7	158.7	63.6	54.5	1985.0	3	2	92.0	1	8	9	9.0	40	8	35.0	39.0	103	1
43	19	1	0	2	2	1	0	95.7	158.7	63.6	54.5	2040.0	3	2	92.0	1	8	9	9.0	40	8	31.0	38.0	112	1
28	19	1	0	2	2	2	0	94.5	168.7	64.0	52.6	2300.0	0	2	98.0	5	14	11	9.4	6	22	26.0	29.0	176	1
15	12	1	0	2	2	1	0	94.5	165.6	63.8	53.3	2028.0	3	2	97.0	1	11	21	9.4	43	12	31.0	37.0	146	1
51	15	1	0	2	2	2	0	98.4	175.7	72.3	50.5	3366.0	1	0	203.0	5	37	13	10.0	33	18	17.0	28.0	186	1
51	2	1	0	1	3	2	0	103.5	189.0	66.9	55.7	3055.0	3	3	164.0	5	16	17	9.0	11	2	20.0	25.0	82	1
51	2	1	0	1	3	2	0	110.0	197.0	70.9	56.3	3505.0	3	3	209.0	5	30	23	8.0	28	15	15.0	20.0	95	0
1	18	1	0	1	3	1	0	97.2	172.0	65.4	52.5	2340.0	4	2	108.0	5	30	3	9.0	56	12	26.0	32.0	181	0
51	9	1	0	1	3	2	0	120.9	208.1	71.7	56.7	3900.0	5	0	308.0	5	36	22	8.0	29	5	14.0	16.0	97	0
51	7	1	0	1	3	2	0	113.0	199.6	69.6	52.8	4066.0	0	3	258.0	5	31	35	8.1	27	7	15.0	19.0	93	0
42	18	1	1	1	4	0	0	96.9	173.6	65.4	54.9	2650.0	4	2	108.0	5	30	3	7.7	5	8	23.0	23.0	16	0
46	19	0	0	1	3	1	0	95.7	166.3	64.4	53.0	2275.0	3	2	110.0	3	15	22	22.5	37	5	34.0	36.0	148	0
49	21	0	1	1	3	2	0	109.1	188.8	68.9	55.5	3217.0	3	3	145.0	3	6	24	23.0	3	8	26.0	27.0	79	-1
49	21	1	1	1	3	2	0	109.1	188.8	68.8	55.5	3049.0	3	2	141.0	5	35	15	8.7	23	14	19.0	25.0	73	-1
48	20	0	0	1	3	1	0	97.3	171.7	65.5	55.7	2264.0	3	2	97.0	3	6	24	23.0	35	8	37.0	46.0	151	2
51	1	1	0	2	3	1	0	99.8	177.3	66.3	53.1	2507.0	3	1	136.0	5	13	24	8.5	4	16	19.0	25.0	41	2
3	17	1	0	1	3	1	0	99.1	186.6	66.5	56.1	2695.0	3	2	121.0	5	25	10	9.3	4	13	21.0	28.0	20	2
22	17	1	1	2	2	1	0	99.1	186.6	66.5	56.1	2808.0	0	2	121.0	5	25	10	9.0	23	16	19.0	26.0	65	3
51	11	1	1	2	2	1	0	95.9	173.2	66.3	50.2	2921.0	3	2	156.0	6	27	33	7.0	18	10	19.0	24.0	39	3
32	12	1	1	2	2	2	0	91.3	170.7	67.9	49.7	3139.0	5	3	181.0	5	21	20	7.8	30	12	17.0	23.0	74	3
14	11	1	0	1	3	1	0	96.3	172.4	65.4	51.6	2365.0	3	2	122.0	1	19	26	8.5	53	10	25.0	32.0	128	1
21	4	1	0	1	2	1	0	93.7	157.3	63.8	50.6	1967.0	3	2	90.0	1	4	19	9.4	42	16	31.0	38.0	110	1
51	10	1	1	2	2	2	0	102.7	178.4	68.0	54.8	2910.0	3	2	140.0	5	35	14	8.0	26	10	19.0	24.0	51	1
0	5	1	0	2	2	1	0	93.7	150.0	64.0	52.6	1956.0	3	2	92.0	0	2	25	9.2	47	21	30.0	34.0	132	1
24	14	1	0	1	3	1	0	93.7	167.3	63.8	50.8	2191.0	3	2	98.0	1	4	19	9.4	42	16	31.0	38.0	141	1
46	19	1	0	1	3	1	0	95.7	166.3	64.4	53.0	2094.0	3	2	98.0	1	13	9	9.0	44	8	38.0	47.0	143	0
51	6	1	0	1	3	2	0	94.3	170.7	61.8	53.5	2337.0	3	2	111.0	1	16	19	8.5	48	8	24.0	29.0	122	0
10	8	1	0	1	3	2	0	104.9	175.0	66.1	54.4	2670.0	3	2	140.0	5	34	16	8.0	10	10	19.0	27.0	66	0
7	5	1	0	1	3	1	0	96.5	163.4	64.0	54.5	2010.0	3	2	92.0	0	2	25	9.2	47	21	30.0	34.0	134	0
42	5	1	0	1	3	1	0	96.5	175.4	65.2	54.1	2304.0	3	2	110.0	0	11	31	9.0	52	19	27.0	33.0	165	0
30	2	1	0	2	3	2	0	101.2	176.8	64.8	54.3	2710.0	3	3	164.0	5	16	17	9.0	11	2	21.0	28.0	75	0
4	12	1	0	1	2	1	0	97.2	173.4	65.2	54.7	2324.0	3	2	120.0	1	17	27	8.5	58	12	27.0	34.0	168	0
18	11	1	0	1	3	1	0	96.3	172.4	65.4	51.6	2403.0	3	2	110.0	6	12	26	7.5	9	16	23.0	30.0	172	-1
51	9	1	0	1	3	2	0	115.6	202.6	71.7	56.5	3740.0	5	0	234.0	5	22	12	8.3	21	7	16.0	18.0	91	-1
28	12	1	0	2	1	1	0	95.1	162.4	63.8	53.3	2008.0	3	2	97.0	1	11	21	9.4	43	12	31.0	37.0	158	2
27	1	1	0	1	3	1	0	99.8	176.6	66.2	54.3	2337.0	3	2	109.0	5	13	24	10.0	2	16	24.0	30.0	36	2
26	11	1	0	2	2	1	0	93.7	157.3	64.4	50.8	1918.0	3	2	92.0	1	4	19	9.4	42	16	37.0	41.0	104	2
22	17	1	0	2	2	1	0	99.1	186.6	66.5	56.1	2707.0	3	2	121.0	5	0	0	9.3	4	13	21.0	28.0	40	3
23	11	1	0	2	2	1	0	96.3	173.0	65.4	49.4	2328.0	3	2	122.0	1	19	26	8.5	53	10	25.0	32.0	162	3
22	17	1	0	2	2	1	0	99.1	186.6	66.5	56.1	2658.0	3	2	121.0	5	25	10	9.31	4	13	21.0	28.0	18	3
13	12	1	0	1	3	1	0	94.5	165.3	63.8	54.5	1971.0	3	2	97.0	1	11	21	9.4	43	12	31.0	37.0	139	1
10	4	1	0	2	2	1	0	93.7	157.3	63.8	50.8	1876.0	3	2	90.0	1	4	19	9.4	42	16	31.0	38.0	113	1
3	8	1	0	2	2	1	0	93.1	159.1	64.2	54.1	1900.0	3	2	91.0	1	7	15	9.0	42	10	31.0	38.0	108	1
34	12	1	0	2	2	2	0	99.2	178.5	67.9	49.7	3139.0	5	3	181.0	5	21	20	9.0	23	12	19.0	25.0	68	1
14	11	1	0	1	3	1	0	96.3	172.4	65.4	51.6	2405.0	3	2	122.0	1	19	26	8.5	53	10	25.0	32.0	155	1
47	9	0	1	2	1	2	0	106.7	187.5	70.3	54.9	3495.0	3	1	183.0	3	26	32	21.5	12	3	22.0	25.0	84	0
44	18	1	0	1	4	1	0	97.0	173.5	65.4	53.0	2455.0	4	2	108.0	5	30	3	9.0	56	12	25.0	31.0	0	0
46	19	1	0	1	2	1	0	95.7	166.3	64.4	52.8	2122.0	3	2	98.0	1	13	9	9.0	44	8	28.0	34.0	159	0
51	13	1	0	1	4	2	0	114.2	198.9	68.4	56.7	3285.0	2	2	120.0	5	22	1	8.4	57	10	19.0	24.0	55	0
31	2	1	0	1	3	2	0	101.2	176.8	64.8	54.3	2395.0	3	2	108.0	5	24	6	8.8	1	19	23.0	29.0	58	0
30	2	1	0	1	3	2	0	101.2	176.8	64.8	54.3	2765.0	3	3	164.0	5	16	17	9.0	11	2	21.0	28.0	76	0
9	8	1	0	1	3	1	0	98.8	177.8	66.5	55.5	2410.0	3	2	122.0	1	20	23	8.6	50	8	26.0	32.0	1	0
49	21	1	0	1	3	2	0	109.1	188.8	68.9	55.5	3012.0	5	3	173.0	5	26	7	8.8	13	16	18.0	23.0	77	-1
7	4	1	0	1	4	1	0	103.3	174.6	64.6	59.8	2535.0	3	2	122.0	1	18	26	8.5	53	10	24.0	30.0	166	-1
17	19	1	0	2	1	2	0	98.4	176.2	65.6	52.0	2540.0	3	2	146.0	5	30	28	9.3	9	8	24.0	30.0	160	2
41	18	1	0	2	2	1	0	93.7	157.9	63.6	53.7	2120.0	4	2	108.0	1	30	3	8.7	46	4	26.0	31.0	129	2
51	16	1	0	2	2	1	0	96.1	176.8	66.6	50.5	2460.0	3	2	132.0	5	22	34	8.7	59	23	23.0	31.0	179	2
33	19	1	0	2	2	2	0	102.9	183.5	67.7	52.0	2976.0	0	3	171.0	5	15	22	9.3	24	12	20.0	24.0	53	3
22	8	1	0	2	2	2	0	95.3	169.0	65.7	49.6	2380.0	6	6	70.0	2	38	36	9.4	1	21	17.0	23.0	8	3
22	8	1	0	2	2	2	0	95.3	169.0	65.7	49.6	2385.0	6	6	70.0	2	38	36	9.4	1	21	17.0	23.0	33	3
14	11	1	1	1	3	1	0	96.3	172.4	65.4	51.6	2403.0	3	2	110.0	6	12	26	7.5	9	16	23.0	30.0	172	1
0	5	1	0	2	2	1	0	93.7	150.0	64.0	52.6	1940.0	3	2	92.0	0	2	25	9.2	47	21	30.0	34.0	116	1
2	12	1	0	1	4	1	0	94.5	170.2	63.8	53.5	2037.0	3	2	97.0	1	11	21	9.4	43	12	31.0	37.0	152	1
5	5	1	0	2	3	1	0	96.5	169.1	66.0	51.0	2293.0	3	2	110.0	1	11	31	9.1	0	16	25.0	31.0	3	1
21	4	1	1	0	3	1	0	93.7	157.3	63.8	50.6	2191.0	3	2	98.0	5	7	23	7.6	2	16	24.0	30.0	163	1
1	18	1	0	1	3	1	0	97.2	172.0	65.4	52.5	2190.0	4	2	108.0	1	30	3	9.5	49	4	28.0	33.0	144	0
40	3	1	0	1	3	1	0	94.5	158.8	63.6	52.0	1909.0	3	2	90.0	1	7	13	9.6	44	15	38.0	43.0	117	0
51	16	1	0	1	4	1	0	96.1	181.5	66.5	55.2	2579.0	3	2	132.0	5	22	34	8.7	59	23	23.0	31.0	173	0
6	12	1	0	1	3	1	0	100.4	184.6	66.5	55.1	3060.0	5	3	181.0	5	21	20	9.0	19	12	19.0	25.0	32	0
26	13	1	1	1	3	2	0	108.0	186.7	68.3	56.0	3130.0	2	2	134.0	5	29	18	7.0	16	17	18.0	24.0	65	0
38	19	1	0	1	4	1	0	95.7	169.7	63.6	59.1	2280.0	3	2	92.0	1	8	9	9.0	40	8	31.0	37.0	126	0
26	13	0	1	1	3	2	0	107.9	186.7	68.4	56.7	3252.0	2	2	152.0	3	32	29	21.0	57	0	28.0	33.0	57	0
37	21	1	0	1	4	2	0	104.3	188.8	67.2	57.5	3034.0	3	2	141.0	5	35	15	9.5	7	15	23.0	28.0	30	-1
36	19	1	0	1	2	1	0	102.4	175.6	66.5	53.9	2458.0	3	2	122.0	5	16	30	8.7	55	1	27.0	32.0	12	-1
12	3	1	0	2	2	1	0	88.4	141.1	60.3	53.2	1488.0	2	4	61.0	1	2	9	9.5	34	11	47.0	53.0	101	2
3	17	1	0	1	3	1	0	99.1	186.6	66.5	56.1	2758.0	3	2	121.0	5	25	10	9.3	4	13	21.0	28.0	42	2
26	11	1	0	2	2	1	0	93.7	157.3	64.4	50.8	1944.0	3	2	92.0	1	4	19	9.4	42	16	31.0	38.0	109	2
22	8	1	0	2	2	2	0	95.3	169.0	65.7	49.6	2500.0	6	6	80.0	5	38	36	9.4	14	21	16.0	23.0	44	3
51	11	1	1	2	2	1	0	95.9	173.2	66.3	50.2	2926.0	3	2	156.0	6	27	33	7.0	18	10	19.0	24.0	38	3
51	0	1	0	2	0	2	0	88.6	168.8	64.1	48.8	2548.0	0	2	130.0	5	23	4	9.0	5	10	21.0	27.0	50	3
28	19	1	0	2	3	2	0	94.5	168.7	64.0	52.6	2265.0	0	2	98.0	5	14	11	9.4	6	22	26.0	29.0	174	1
11	14	1	0	2	2	1	0	93.7	157.3	63.8	50.8	1918.0	3	2	90.0	1	4	19	9.4	42	16	37.0	41.0	107	1
11	14	1	1	2	2	1	0	93.7	157.3	63.8	50.8	2128.0	3	2	98.0	6	7	23	7.6	2	16	24.0	30.0	149	1
24	14	1	0	1	2	1	0	93.7	157.3	63.8	50.6	1967.0	3	2	90.0	1	4	19	9.4	42	16	31.0	38.0	110	1
15	12	1	0	2	3	1	0	94.5	165.3	63.8	54.5	1889.0	3	2	97.0	1	11	21	9.4	43	12	31.0	37.0	106	1
20	7	1	0	1	3	2	0	113.0	199.6	69.6	52.8	4066.0	0	3	258.0	5	31	35	8.1	27	7	15.0	19.0	88	0
4	5	1	0	2	2	1	0	96.5	167.5	65.2	53.3	2236.0	3	2	110.0	0	11	31	9.0	52	19	27.0	33.0	147	0
51	2	1	0	2	3	2	0	103.5	193.8	67.9	53.7	3380.0	3	3	209.0	5	30	23	8.0	28	15	16.0	22.0	98	0
26	13	1	0	1	3	2	0	107.9	186.7	68.4	56.7	3020.0	2	2	120.0	5	22	17	8.4	58	10	19.0	24.0	19	0
51	20	0	1	1	3	1	0	100.4	180.2	66.9	55.1	2579.0	3	2	97.0	3	6	24	23.0	42	5	33.0	38.0	34	0
51	7	1	0	2	3	2	0	102.0	191.7	70.6	47.8	3950.0	5	5	326.0	5	25	5	11.5	32	10	13.0	17.0	94	0
51	2	1	0	1	3	2	0	103.5	189.0	66.9	55.7	3230.0	3	3	209.0	5	30	23	8.0	28	15	16.0	22.0	86	0
47	9	0	1	1	3	2	0	110.0	190.9	70.3	56.5	3515.0	3	1	183.0	3	26	32	21.5	12	3	22.0	25.0	83	-1
37	21	1	0	1	4	2	0	104.3	188.8	67.2	57.5	3042.0	3	2	141.0	5	35	15	9.5	7	15	24.0	28.0	52	-1
